url_path,views_total,views_unique
/mariasfiraiala/SO-exam,28,21
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,8,7
/mariasfiraiala/SO-exam/tree/master/data,6,6
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,5,5
/mariasfiraiala/SO-exam/tree/master/compute,5,5
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,3,3
/mariasfiraiala/SO-exam/tree/master/app-interact,3,3
/mariasfiraiala/SO-exam/tree/master/software-stack,3,3
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,2,2
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,2,2
