time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-03 00:00:00+00:00,1,1,4.0,2.0
2023-10-04 00:00:00+00:00,1,1,2.0,1.0
2023-10-05 00:00:00+00:00,5,2,,
2023-10-06 00:00:00+00:00,2,2,3.0,2.0
2023-10-07 00:00:00+00:00,6,3,,
2023-10-08 00:00:00+00:00,1,1,,
2023-10-09 00:00:00+00:00,4,3,,
2023-10-10 00:00:00+00:00,3,2,8.0,2.0
2023-10-11 00:00:00+00:00,1,1,18.0,1.0
2023-10-12 00:00:00+00:00,1,1,12.0,3.0
2023-10-13 00:00:00+00:00,12,2,29.0,5.0
2023-10-14 00:00:00+00:00,1,1,94.0,3.0
2023-10-15 00:00:00+00:00,2,2,81.0,8.0
2023-10-16 00:00:00+00:00,1,1,63.0,3.0
