time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,32,9,1,1
2026-06-15 00:00:00+00:00,13,8,2,1
2026-06-16 00:00:00+00:00,19,5,1,1
2026-06-17 00:00:00+00:00,13,4,2,2
2026-06-18 00:00:00+00:00,27,7,0,0
2026-06-19 00:00:00+00:00,31,7,4,2
2026-06-20 00:00:00+00:00,19,4,3,1
2026-06-21 00:00:00+00:00,50,13,4,3
2026-06-22 00:00:00+00:00,48,14,4,3
2026-06-23 00:00:00+00:00,42,14,1,1
2026-06-24 00:00:00+00:00,21,6,2,2
2026-06-25 00:00:00+00:00,38,9,2,2
2026-06-26 00:00:00+00:00,8,3,2,1
2026-06-27 00:00:00+00:00,17,8,1,1
