time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-11 00:00:00+00:00,3,2,9,3
2023-07-12 00:00:00+00:00,3,2,28,3
2023-07-13 00:00:00+00:00,3,2,3,2
2023-07-14 00:00:00+00:00,3,2,68,4
2023-07-15 00:00:00+00:00,3,2,5,1
2023-07-16 00:00:00+00:00,3,2,7,2
2023-07-17 00:00:00+00:00,5,4,5,3
2023-07-18 00:00:00+00:00,3,2,2,1
2023-07-19 00:00:00+00:00,3,2,30,3
2023-07-20 00:00:00+00:00,3,2,32,5
2023-07-21 00:00:00+00:00,3,2,40,6
2023-07-22 00:00:00+00:00,3,2,12,2
2023-07-23 00:00:00+00:00,3,2,51,7
2023-07-24 00:00:00+00:00,2,2,86,6
