url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,213,25
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,210,30
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,205,42
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,204,36
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,141,25
/mariasfiraiala/SO-exam/tree/master/software-stack,128,38
/mariasfiraiala/SO-exam/tree/master/data,97,33
/mariasfiraiala/SO-exam/tree/master/compute,92,25
/mariasfiraiala/SO-exam/tree/master/io,81,21
/mariasfiraiala/SO-exam/tree/master/app-interact,77,19
