time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-10 00:00:00+00:00,7,3,6,2
2026-01-11 00:00:00+00:00,7,3,23,9
2026-01-12 00:00:00+00:00,7,3,41,11
2026-01-13 00:00:00+00:00,7,3,9,3
2026-01-14 00:00:00+00:00,8,4,41,10
2026-01-15 00:00:00+00:00,12,4,36,10
2026-01-16 00:00:00+00:00,15,7,25,12
2026-01-17 00:00:00+00:00,10,6,37,9
2026-01-18 00:00:00+00:00,13,5,221,39
2026-01-19 00:00:00+00:00,17,5,281,54
2026-01-20 00:00:00+00:00,11,7,82,24
2026-01-21 00:00:00+00:00,5,5,252,52
2026-01-22 00:00:00+00:00,2,2,600,115
2026-01-23 00:00:00+00:00,3,3,358,69
