url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,48,13
/mariasfiraiala/SO-exam,17,13
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,9,3
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,4,3
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,4,3
/mariasfiraiala/SO-exam/tree/master/compute,4,3
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,3,3
/mariasfiraiala/SO-exam/tree/master/app-interact,3,3
/mariasfiraiala/SO-exam/tree/master/extra,3,3
/mariasfiraiala/SO-exam/tree/master/software-stack,3,3
