time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-25 00:00:00+00:00,3.0,2.0,1.0,1.0
2023-06-26 00:00:00+00:00,5.0,4.0,11.0,7.0
2023-06-27 00:00:00+00:00,1.0,1.0,,
2023-06-28 00:00:00+00:00,4.0,3.0,7.0,3.0
2023-06-29 00:00:00+00:00,3.0,2.0,4.0,3.0
2023-06-30 00:00:00+00:00,3.0,2.0,6.0,3.0
2023-07-01 00:00:00+00:00,3.0,2.0,1.0,1.0
2023-07-02 00:00:00+00:00,3.0,2.0,5.0,2.0
2023-07-03 00:00:00+00:00,2.0,2.0,4.0,1.0
2023-07-04 00:00:00+00:00,3.0,2.0,14.0,3.0
2023-07-05 00:00:00+00:00,3.0,2.0,,
2023-07-06 00:00:00+00:00,3.0,2.0,10.0,3.0
2023-07-07 00:00:00+00:00,3.0,2.0,9.0,2.0
2023-07-08 00:00:00+00:00,,,25.0,2.0
