time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,11,6,0,0
2026-09-05 00:00:00+00:00,2,2,0,0
2026-09-06 00:00:00+00:00,3,3,18,3
2026-09-07 00:00:00+00:00,10,4,0,0
2026-09-08 00:00:00+00:00,4,3,20,5
2026-09-09 00:00:00+00:00,4,4,4,1
2026-09-10 00:00:00+00:00,5,5,5,1
2026-09-11 00:00:00+00:00,1,1,0,0
2026-09-12 00:00:00+00:00,28,12,0,0
2026-09-13 00:00:00+00:00,1,1,12,2
2026-09-14 00:00:00+00:00,4,4,0,0
2026-09-15 00:00:00+00:00,5,4,11,1
2026-09-16 00:00:00+00:00,1,1,0,0
2026-09-17 00:00:00+00:00,1,1,0,0
