url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,26,6
/mariasfiraiala/SO-exam,22,13
/mariasfiraiala/SO-exam/tree/master/software-stack,15,4
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,13,3
/mariasfiraiala/SO-exam/tree/master/data,11,3
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,10,3
/mariasfiraiala/SO-exam/tree/master/app-interact,6,2
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,4,2
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,4,2
/mariasfiraiala/SO-exam/tree/master,3,3
