url_path,views_total,views_unique
/mariasfiraiala/SO-exam,27,13
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,24,4
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,16,2
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,15,5
/mariasfiraiala/SO-exam/tree/master/compute,13,3
/mariasfiraiala/SO-exam/tree/master/io,13,2
/mariasfiraiala/SO-exam/blob/master/io/io-q%26a.md,12,3
/mariasfiraiala/SO-exam/tree/master/extra,11,1
/mariasfiraiala/SO-exam/tree/master/software-stack,10,5
/mariasfiraiala/SO-exam/tree/master/app-interact,9,2
