time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,1.0,1.0,,
2025-06-21 00:00:00+00:00,1.0,1.0,,
2025-06-22 00:00:00+00:00,1.0,1.0,,
2025-06-23 00:00:00+00:00,1.0,1.0,,
2025-06-24 00:00:00+00:00,1.0,1.0,,
2025-06-25 00:00:00+00:00,1.0,1.0,3.0,2.0
2025-06-26 00:00:00+00:00,3.0,3.0,3.0,3.0
2025-06-27 00:00:00+00:00,4.0,4.0,5.0,3.0
2025-06-28 00:00:00+00:00,3.0,3.0,2.0,2.0
2025-06-29 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-06-30 00:00:00+00:00,3.0,3.0,5.0,3.0
2025-07-01 00:00:00+00:00,5.0,5.0,,
2025-07-02 00:00:00+00:00,1.0,1.0,,
2025-07-03 00:00:00+00:00,,,15.0,4.0
