time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-06 00:00:00+00:00,2,2,25.0,6.0
2023-11-07 00:00:00+00:00,1,1,86.0,15.0
2023-11-08 00:00:00+00:00,2,2,5.0,3.0
2023-11-09 00:00:00+00:00,2,2,,
2023-11-10 00:00:00+00:00,2,2,5.0,2.0
2023-11-11 00:00:00+00:00,1,1,1.0,1.0
2023-11-12 00:00:00+00:00,2,2,7.0,2.0
2023-11-13 00:00:00+00:00,3,3,,
2023-11-14 00:00:00+00:00,1,1,41.0,7.0
2023-11-15 00:00:00+00:00,2,2,22.0,4.0
2023-11-16 00:00:00+00:00,2,2,6.0,2.0
2023-11-17 00:00:00+00:00,2,2,19.0,2.0
2023-11-18 00:00:00+00:00,2,2,1.0,1.0
