time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,1.0,1.0,,
2024-05-09 00:00:00+00:00,1.0,1.0,4.0,3.0
2024-05-10 00:00:00+00:00,5.0,2.0,3.0,2.0
2024-05-11 00:00:00+00:00,6.0,3.0,1.0,1.0
2024-05-12 00:00:00+00:00,1.0,1.0,3.0,1.0
2024-05-13 00:00:00+00:00,6.0,2.0,66.0,7.0
2024-05-14 00:00:00+00:00,5.0,2.0,103.0,8.0
2024-05-15 00:00:00+00:00,1.0,1.0,35.0,6.0
2024-05-16 00:00:00+00:00,1.0,1.0,18.0,3.0
2024-05-17 00:00:00+00:00,1.0,1.0,3.0,2.0
2024-05-18 00:00:00+00:00,1.0,1.0,4.0,1.0
2024-05-19 00:00:00+00:00,5.0,2.0,7.0,4.0
2024-05-20 00:00:00+00:00,1.0,1.0,20.0,4.0
2024-05-21 00:00:00+00:00,,,4.0,2.0
