time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-09 00:00:00+00:00,6,3,38.0,4.0
2025-06-10 00:00:00+00:00,1,1,7.0,3.0
2025-06-11 00:00:00+00:00,1,1,6.0,2.0
2025-06-12 00:00:00+00:00,4,4,6.0,4.0
2025-06-13 00:00:00+00:00,5,5,2.0,2.0
2025-06-14 00:00:00+00:00,6,6,5.0,2.0
2025-06-15 00:00:00+00:00,5,5,3.0,3.0
2025-06-16 00:00:00+00:00,1,1,6.0,3.0
2025-06-17 00:00:00+00:00,3,3,,
2025-06-18 00:00:00+00:00,6,6,2.0,1.0
2025-06-19 00:00:00+00:00,4,4,2.0,2.0
2025-06-20 00:00:00+00:00,1,1,,
2025-06-21 00:00:00+00:00,1,1,,
