time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,14,5,2,1
2026-06-07 00:00:00+00:00,13,4,1,1
2026-06-08 00:00:00+00:00,16,7,18,1
2026-06-09 00:00:00+00:00,14,5,4,4
2026-06-10 00:00:00+00:00,13,6,0,0
2026-06-11 00:00:00+00:00,18,8,0,0
2026-06-12 00:00:00+00:00,20,6,3,2
2026-06-13 00:00:00+00:00,13,4,4,3
2026-06-14 00:00:00+00:00,32,9,1,1
2026-06-15 00:00:00+00:00,13,8,2,1
2026-06-16 00:00:00+00:00,19,5,1,1
2026-06-17 00:00:00+00:00,13,4,2,2
2026-06-18 00:00:00+00:00,27,7,0,0
2026-06-19 00:00:00+00:00,31,7,4,2
