url_path,views_total,views_unique
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,67,23
/mariasfiraiala/SO-exam/tree/master/data,36,14
/mariasfiraiala/SO-exam,33,19
/mariasfiraiala/SO-exam/tree/master/software-stack,15,4
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,14,3
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,10,5
/mariasfiraiala/SO-exam/tree/master/compute,9,4
/mariasfiraiala/SO-exam/blob/master/compute/compute-q%26a.md,8,4
/mariasfiraiala/SO-exam/tree/master,6,5
/mariasfiraiala/SO-exam/commit/d62faa845d673a7fe318c072ea38f8bf7545f2b3,3,3
