time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,15.0,8.0,425,127
2025-11-07 00:00:00+00:00,5.0,5.0,140,66
2025-11-08 00:00:00+00:00,17.0,7.0,7,7
2025-11-09 00:00:00+00:00,4.0,4.0,41,15
2025-11-10 00:00:00+00:00,23.0,7.0,104,37
2025-11-11 00:00:00+00:00,11.0,5.0,39,17
2025-11-12 00:00:00+00:00,3.0,3.0,40,10
2025-11-13 00:00:00+00:00,4.0,3.0,53,12
2025-11-14 00:00:00+00:00,2.0,2.0,36,7
2025-11-15 00:00:00+00:00,5.0,3.0,36,11
2025-11-16 00:00:00+00:00,3.0,3.0,127,31
2025-11-17 00:00:00+00:00,3.0,3.0,224,58
2025-11-18 00:00:00+00:00,5.0,5.0,193,47
2025-11-19 00:00:00+00:00,,,261,62
