time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-18 00:00:00+00:00,1,1,1.0,1.0
2025-09-19 00:00:00+00:00,1,1,4.0,2.0
2025-09-20 00:00:00+00:00,25,7,,
2025-09-21 00:00:00+00:00,2,2,29.0,1.0
2025-09-22 00:00:00+00:00,4,4,4.0,1.0
2025-09-23 00:00:00+00:00,6,2,3.0,1.0
2025-09-25 00:00:00+00:00,5,5,5.0,1.0
2025-09-26 00:00:00+00:00,4,4,,
2025-09-27 00:00:00+00:00,1,1,,
2025-09-28 00:00:00+00:00,7,3,,
2025-09-29 00:00:00+00:00,3,3,,
2025-09-30 00:00:00+00:00,1,1,1.0,1.0
2025-10-01 00:00:00+00:00,1,1,,
