url_path,views_total,views_unique
/mariasfiraiala/SO-exam,72,42
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,14,7
/mariasfiraiala/SO-exam/tree/master/app-interact,10,5
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,9,6
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,7,4
/mariasfiraiala/SO-exam/tree/master/data,7,4
/mariasfiraiala/SO-exam/tree/master/software-stack,7,4
/mariasfiraiala/SO-exam/tree/master/compute,6,4
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q&a.md,6,1
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,5,4
