time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,82,28,3,2
2026-04-25 00:00:00+00:00,90,29,2,2
2026-04-26 00:00:00+00:00,8,3,1,1
2026-04-27 00:00:00+00:00,18,5,0,0
2026-04-28 00:00:00+00:00,19,6,0,0
2026-04-29 00:00:00+00:00,45,10,1,1
2026-04-30 00:00:00+00:00,25,8,1,1
2026-05-01 00:00:00+00:00,31,7,2,2
2026-05-02 00:00:00+00:00,24,6,2,1
2026-05-03 00:00:00+00:00,26,8,1,1
2026-05-04 00:00:00+00:00,18,4,1,1
2026-05-05 00:00:00+00:00,34,8,1,1
2026-05-06 00:00:00+00:00,22,9,7,1
2026-05-07 00:00:00+00:00,27,10,1,1
