time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-04 00:00:00+00:00,2,2,992.0,44.0
2023-09-05 00:00:00+00:00,2,2,1178.0,61.0
2023-09-06 00:00:00+00:00,1,1,20.0,6.0
2023-09-07 00:00:00+00:00,1,1,3.0,2.0
2023-09-08 00:00:00+00:00,1,1,5.0,1.0
2023-09-09 00:00:00+00:00,1,1,5.0,2.0
2023-09-10 00:00:00+00:00,1,1,5.0,2.0
2023-09-11 00:00:00+00:00,2,2,,
2023-09-12 00:00:00+00:00,1,1,4.0,4.0
2023-09-13 00:00:00+00:00,5,2,4.0,4.0
2023-09-14 00:00:00+00:00,4,2,2.0,1.0
2023-09-15 00:00:00+00:00,1,1,2.0,2.0
2023-09-16 00:00:00+00:00,1,1,22.0,2.0
