time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,1,1,4.0,2.0
2025-08-25 00:00:00+00:00,2,2,9.0,2.0
2025-08-26 00:00:00+00:00,2,2,31.0,7.0
2025-08-27 00:00:00+00:00,5,5,58.0,7.0
2025-08-28 00:00:00+00:00,1,1,56.0,4.0
2025-08-29 00:00:00+00:00,1,1,27.0,5.0
2025-08-30 00:00:00+00:00,4,4,2.0,2.0
2025-08-31 00:00:00+00:00,2,2,3.0,1.0
2025-09-01 00:00:00+00:00,3,3,,
2025-09-02 00:00:00+00:00,4,4,,
2025-09-03 00:00:00+00:00,1,1,,
2025-09-04 00:00:00+00:00,3,3,,
2025-09-05 00:00:00+00:00,2,2,,
