time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-23 00:00:00+00:00,1,1,46.0,10.0
2024-04-24 00:00:00+00:00,5,2,10.0,5.0
2024-04-25 00:00:00+00:00,1,1,33.0,5.0
2024-04-26 00:00:00+00:00,5,2,6.0,3.0
2024-04-27 00:00:00+00:00,1,1,2.0,1.0
2024-04-28 00:00:00+00:00,5,2,6.0,2.0
2024-04-29 00:00:00+00:00,5,2,4.0,2.0
2024-04-30 00:00:00+00:00,1,1,11.0,3.0
2024-05-01 00:00:00+00:00,1,1,4.0,1.0
2024-05-02 00:00:00+00:00,2,2,4.0,2.0
2024-05-03 00:00:00+00:00,1,1,1.0,1.0
2024-05-04 00:00:00+00:00,5,2,3.0,2.0
2024-05-05 00:00:00+00:00,1,1,,
2024-05-06 00:00:00+00:00,1,1,,
