url_path,views_total,views_unique
/mariasfiraiala/SO-exam,71,39
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q%26a.md,13,7
/mariasfiraiala/SO-exam/tree/master/app-interact,9,5
/mariasfiraiala/SO-exam/blob/master/software-stack/software-stack-q%26a.md,7,6
/mariasfiraiala/SO-exam/blob/master/extra/extra-q%26a.md,6,5
/mariasfiraiala/SO-exam/tree/master/software-stack,6,4
/mariasfiraiala/SO-exam/blob/master/app-interact/app-interact-q&a.md,6,1
/mariasfiraiala/SO-exam/issues,5,4
/mariasfiraiala/SO-exam/tree/master/compute,5,4
/mariasfiraiala/SO-exam/blob/master/data/data-q%26a.md,5,3
