time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,7,3,,
2025-09-29 00:00:00+00:00,3,3,,
2025-09-30 00:00:00+00:00,1,1,1.0,1.0
2025-10-01 00:00:00+00:00,2,2,,
2025-10-02 00:00:00+00:00,1,1,,
2025-10-03 00:00:00+00:00,5,5,,
2025-10-04 00:00:00+00:00,5,5,18.0,2.0
2025-10-05 00:00:00+00:00,1,1,,
2025-10-06 00:00:00+00:00,5,5,,
2025-10-07 00:00:00+00:00,2,2,3.0,3.0
2025-10-08 00:00:00+00:00,3,3,1.0,1.0
2025-10-09 00:00:00+00:00,2,2,,
2025-10-10 00:00:00+00:00,6,6,,
